inst_code,inst_name,type,DIST,PLACE,COED,branch_ code,OC_BO YS,OC_GIR LS,SC_BOY S,SC_GIR LS,ST_BOY S,ST_GIR LS,BCA_B OYS,BCA_GI RLS,BCB_B OYS,BCB_GI RLS,BCC_B OYS,BCC_GI RLS,BCD_B OYS,BCD_GI RLS,BCE_B OYS,BCE_GI RLS,OC_EWS_B OYS,OC_EWS_GI RLS,Year
AKRG,"AKRG COLLEGE OF ENGG AND
TECHNOLOGY",PVT,WG,NALLAJERLA,COED,CSE,130056.0,130085.0,130056.0,130085.0,130515.0,130569.0,130110.0,130110.0,130056.0,130085.0,106683.0,106683.0,130146.0,130146.0,130056.0,130085.0,126295.0,85987.0,2019.0
AKRG,"AKRG COLLEGE OF ENGG AND
TECHNOLOGY",PVT,WG,NALLAJERLA,COED,ECE,130056.0,130056.0,130583.0,130583.0,130056.0,130056.0,130110.0,130110.0,130150.0,130150.0,105240.0,130056.0,130146.0,130146.0,130056.0,130056.0,104696.0,85987.0,2019.0
AKRP,A.K.R.G. COLLEGE OF PHARMACY,PVT,WG,NALLAJERLA,COED,PHM,48000.0,99158.0,48000.0,110392.0,48000.0,99158.0,48000.0,107577.0,48000.0,99158.0,48000.0,99158.0,48000.0,99158.0,48000.0,99158.0,104696.0,85987.0,2019.0
ALIT,"ANDHRA LOYOLA INSTT OF ENGG AND
TECHNOLOGY",PVT,KRI,VIJAYAWADA,COED,CIV,56983.0,78842.0,121856.0,126853.0,129923.0,129923.0,123532.0,130475.0,123232.0,123232.0,56983.0,78842.0,109374.0,109374.0,123836.0,123836.0,118421.0,93058.0,2019.0
ALIT,"ANDHRA LOYOLA INSTT OF ENGG AND
TECHNOLOGY",PVT,KRI,VIJAYAWADA,COED,CSE,34886.0,35809.0,86297.0,86297.0,118346.0,118346.0,75046.0,82471.0,78351.0,78351.0,34886.0,91026.0,48697.0,112312.0,81265.0,81265.0,41517.0,41957.0,2019.0
ALIT,"ANDHRA LOYOLA INSTT OF ENGG AND
TECHNOLOGY",PVT,KRI,VIJAYAWADA,COED,ECE,35220.0,37278.0,110564.0,110564.0,112218.0,126329.0,77996.0,94520.0,113212.0,114051.0,46678.0,46678.0,115742.0,126627.0,83476.0,86875.0,63291.0,53251.0,2019.0
ALIT,"ANDHRA LOYOLA INSTT OF ENGG AND
TECHNOLOGY",PVT,KRI,VIJAYAWADA,COED,EEE,83370.0,83370.0,113740.0,130429.0,116247.0,116247.0,114974.0,114974.0,129789.0,129789.0,83370.0,83370.0,85367.0,85367.0,83370.0,83370.0,106904.0,104317.0,2019.0
ALIT,"ANDHRA LOYOLA INSTT OF ENGG AND
TECHNOLOGY",PVT,KRI,VIJAYAWADA,COED,INF,43705.0,58821.0,117491.0,117491.0,119778.0,119778.0,59652.0,86174.0,107959.0,109151.0,43705.0,58821.0,79859.0,95834.0,92306.0,92306.0,55455.0,54699.0,2019.0
ALIT,"ANDHRA LOYOLA INSTT OF ENGG AND
TECHNOLOGY",PVT,KRI,VIJAYAWADA,COED,MEC,88208.0,88208.0,129538.0,129538.0,115976.0,118028.0,88208.0,112274.0,88208.0,105058.0,88208.0,88208.0,88208.0,123572.0,88208.0,88208.0,85564.0,80058.0,2019.0
ALTS,"ANANTHA LAKSHMI INST OF
TECHNOLOGY AND SCI",PVT,ATP,ANANTAPURAMU,COED,CIV,130056.0,130056.0,130056.0,130056.0,130056.0,130056.0,130056.0,130056.0,130056.0,130056.0,143302.0,130056.0,130056.0,130056.0,130056.0,130056.0,103233.0,85987.0,2019.0
