SNO,INST_CODE,INST_NAME,TYPE,DISTRICT,PLACE,COED,AFFLIATED,BRANCH_CODE,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BCA_BOYS,BCA_GIRLS,BCB_BOYS,BCB_GIRLS,BCC_BOYS,BCC_GIRLS,BCD_BOYS,BCD_GIRLS,BCE_BOYS,BCE_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,COLLEGE_FEE
66,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,EAST GODAVARI,KAKINADA,COED,JNTUK,CIV,13331.0,13331.0,36359.0,36359.0,33306.0,45711.0,27393.0,27393.0,17509.0,27165.0,19669.0,19669.0,21200.0,22468.0,36127.0,36127.0,20441.0,21084.0,10000.0
67,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,EAST GODAVARI,KAKINADA,COED,JNTUK,CSE,2039.0,2074.0,4169.0,4169.0,14985.0,14985.0,2039.0,2074.0,2039.0,2074.0,2039.0,2074.0,2039.0,2074.0,2039.0,2967.0,2593.0,1572.0,10000.0
68,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,EAST GODAVARI,KAKINADA,COED,JNTUK,ECE,3414.0,3565.0,9204.0,9204.0,3414.0,17735.0,3414.0,3645.0,3414.0,3565.0,3704.0,3704.0,4111.0,4111.0,7462.0,7462.0,2458.0,2260.0,10000.0
69,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,EAST GODAVARI,KAKINADA,COED,JNTUK,EEE,5330.0,5330.0,21342.0,23452.0,22741.0,22741.0,8940.0,11483.0,9031.0,9031.0,10648.0,10648.0,7009.0,8194.0,10969.0,13758.0,5955.0,5725.0,10000.0
70,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,EAST GODAVARI,KAKINADA,COED,JNTUK,MEC,13200.0,13200.0,27641.0,37184.0,33216.0,56329.0,17472.0,26491.0,16237.0,40823.0,13200.0,13200.0,17877.0,27828.0,15402.0,15402.0,9091.0,28858.0,10000.0
71,JNTKSF,JNTUK COLLEGE OF ENGG. KAKINADA-SELF FINANCE,SF,EAST GODAVARI,KAKINADA,COED,JNTUK,CHE,32732.0,32732.0,98668.0,98668.0,166881.0,166881.0,61633.0,66574.0,63114.0,95205.0,32732.0,32732.0,44265.0,46145.0,32732.0,116365.0,47677.0,39372.0,45000.0
72,JNTKSF,JNTUK COLLEGE OF ENGG. KAKINADA-SELF FINANCE,SF,EAST GODAVARI,KAKINADA,COED,JNTUK,PEE,61232.0,70358.0,142767.0,152128.0,82683.0,145732.0,152945.0,152945.0,103718.0,123472.0,63162.0,101559.0,84958.0,89741.0,61232.0,112413.0,67874.0,89170.0,45000.0
73,JNTKSS,JNTUK COLLEGE OF ENGG. KAKINADA-SELF SUPPORTING,SS,EAST GODAVARI,KAKINADA,COED,JNTUK,CSM,4344.0,6097.0,14507.0,14507.0,67466.0,81849.0,6493.0,6493.0,5181.0,6097.0,4344.0,89711.0,4344.0,6097.0,4344.0,6097.0,5633.0,5171.0,75000.0
74,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,EAST GODAVARI,KAKINADA,COED,JNTUK,AID,124116.0,175724.0,174750.0,175724.0,167439.0,175724.0,124116.0,175724.0,176379.0,176379.0,124116.0,175724.0,176293.0,176293.0,124116.0,175724.0,169903.0,170062.0,43000.0
75,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,EAST GODAVARI,KAKINADA,COED,JNTUK,CAI,155698.0,155698.0,174268.0,174268.0,155698.0,155698.0,155698.0,155698.0,155698.0,155698.0,155698.0,155698.0,172409.0,172409.0,155698.0,155698.0,175350.0,169065.0,43000.0
