INST_CODE,INST_NAME,BRANCH_CODE,DISTRICT,COED,AFFLIATED,COLLEGE_FEE,CUTOFF,CATEGORY,GENDER,YEAR
SRIN,SRINIVASA INST OF ENGG AND TECHNOLOGY,CIV,EAST GODAVARI,COED,JNTUK,43000.0,117994.0,OC,BOYS,2022
SRIN,SRINIVASA INST OF ENGG AND TECHNOLOGY,CSE,EAST GODAVARI,COED,JNTUK,43000.0,63578.0,OC,BOYS,2022
SRIN,SRINIVASA INST OF ENGG AND TECHNOLOGY,ECE,EAST GODAVARI,COED,JNTUK,43000.0,105672.0,OC,BOYS,2022
SRIN,SRINIVASA INST OF ENGG AND TECHNOLOGY,EEE,EAST GODAVARI,COED,JNTUK,43000.0,134252.0,OC,BOYS,2022
SRIN,SRINIVASA INST OF ENGG AND TECHNOLOGY,MEC,EAST GODAVARI,COED,JNTUK,43000.0,156632.0,OC,BOYS,2022
VJCP,V JS COLLEGE OF PHARMACY,PHM,EAST GODAVARI,COED,AU,41000.0,44795.0,OC,BOYS,2022
VKSR,VIKAS INST. OF PHARM.SCI.,PHM,EAST GODAVARI,COED,AU,47900.0,98322.0,OC,BOYS,2022
VSMR,V.S.M COLLEGE OF ENGINEERING,CIV,EAST GODAVARI,COED,JNTUK,51000.0,169131.0,OC,BOYS,2022
VSMR,V.S.M COLLEGE OF ENGINEERING,CSD,EAST GODAVARI,COED,JNTUK,51000.0,102898.0,OC,BOYS,2022
VSMR,V.S.M COLLEGE OF ENGINEERING,CSE,EAST GODAVARI,COED,JNTUK,51000.0,71343.0,OC,BOYS,2022
VSMR,V.S.M COLLEGE OF ENGINEERING,CSM,EAST GODAVARI,COED,JNTUK,51000.0,85354.0,OC,BOYS,2022
VSMR,V.S.M COLLEGE OF ENGINEERING,ECE,EAST GODAVARI,COED,JNTUK,51000.0,120479.0,OC,BOYS,2022
VSMR,V.S.M COLLEGE OF ENGINEERING,EEE,EAST GODAVARI,COED,JNTUK,51000.0,139113.0,OC,BOYS,2022
VSMR,V.S.M COLLEGE OF ENGINEERING,MEC,EAST GODAVARI,COED,JNTUK,51000.0,169131.0,OC,BOYS,2022
AMRN,A.M.REDDY MEMORIAL COLL. OF ENGINEERING,AGR,GUNTUR,COED,JNTUK,35000.0,91773.0,OC,BOYS,2022
AMRN,A.M.REDDY MEMORIAL COLL. OF ENGINEERING,CIV,GUNTUR,COED,JNTUK,35000.0,10541.0,OC,BOYS,2022
AMRN,A.M.REDDY MEMORIAL COLL. OF ENGINEERING,CS,GUNTUR,COED,JNTUK,35000.0,124940.0,OC,BOYS,2022
AMRN,A.M.REDDY MEMORIAL COLL. OF ENGINEERING,CSE,GUNTUR,COED,JNTUK,35000.0,54529.0,OC,BOYS,2022
AMRN,A.M.REDDY MEMORIAL COLL. OF ENGINEERING,ECE,GUNTUR,COED,JNTUK,35000.0,57342.0,OC,BOYS,2022
ANCUSF,ANU COLLEGE OF ENGG TECHNOLOGY-SELF FINANCE,AIM,GUNTUR,COED,ANU,40000.0,62364.0,OC,BOYS,2022
ANCUSF,ANU COLLEGE OF ENGG TECHNOLOGY-SELF FINANCE,CIV,GUNTUR,COED,ANU,40000.0,137249.0,OC,BOYS,2022
ANCUSF,ANU COLLEGE OF ENGG TECHNOLOGY-SELF FINANCE,CS,GUNTUR,COED,ANU,40000.0,43132.0,OC,BOYS,2022
ANCUSF,ANU COLLEGE OF ENGG TECHNOLOGY-SELF FINANCE,CSE,GUNTUR,COED,ANU,40000.0,24590.0,OC,BOYS,2022
ANCUSF,ANU COLLEGE OF ENGG TECHNOLOGY-SELF FINANCE,DS,GUNTUR,COED,ANU,40000.0,69725.0,OC,BOYS,2022
ANCUSF,ANU COLLEGE OF ENGG TECHNOLOGY-SELF FINANCE,ECE,GUNTUR,COED,ANU,40000.0,32348.0,OC,BOYS,2022
ANCUSF,ANU COLLEGE OF ENGG TECHNOLOGY-SELF FINANCE,EEE,GUNTUR,COED,ANU,40000.0,68005.0,OC,BOYS,2022
ANCUSF,ANU COLLEGE OF ENGG TECHNOLOGY-SELF FINANCE,MEC,GUNTUR,COED,ANU,40000.0,70753.0,OC,BOYS,2022
ANUPSF,ANU COLL OF PHARMACEUTICAL SCIENCES-SELF FINANCE,PHM,GUNTUR,COED,ANU,31000.0,91686.0,OC,BOYS,2022
ARMN,A M REDDY MEMORIAL COLL. OF PHARMACY,PHM,GUNTUR,COED,ANU,35000.0,64947.0,OC,BOYS,2022
BECB,BAPATLA ENGINEERING COLLEGE,CIV,GUNTUR,COED,ANU,61000.0,161120.0,OC,BOYS,2022
BECB,BAPATLA ENGINEERING COLLEGE,CS,GUNTUR,COED,ANU,61000.0,40006.0,OC,BOYS,2022
BECB,BAPATLA ENGINEERING COLLEGE,CSE,GUNTUR,COED,ANU,61000.0,22873.0,OC,BOYS,2022
